hotel_name,hotel_location,review_title,review_pos,review_neg,review_date,review_country,num_reviews_by_reviewer,reviewer_name,review_rating,review_tags,hussain_classification,jeremy_classification,automatic_classfication
Montien Riverside Hotel,"13.68922982,100.50802052",Good,Friendly helpful staff.  Comfortable bed,Location,2020-02-2T00:00:00,United Kingdom,2,Mona,7.0,"Leisure trip,Group,Superior Double or Twin Room,Stayed 3 nights,Submitted via mobile",1.0,0.0,1
Hoft Hostel Bangkok,"13.72742929,100.52421125",“Clean and decent hostel with a nice view of the city”,The menu was a backpacker staple. It's decent and it's filling. The cookies are really good though! The room was very clean and the airconditioning worked fine.,I wish the bathroom had more space to put your things. I also wish there was a hairdryer in the men's bathroom (I ended up borrowing the one in the women's bathroom).,2019-11-18T00:00:00,Philippines,12,Charz,8.0,"Leisure trip,Group,Family Room with Shared Bathroom,Stayed 1 night",1.0,1.0,1
"Amara Sanctuary Resort Sentosa (SG Clean, Staycation Approved)","1.25149430,103.82266760",“Over price with old facilities.”,Location is near to the Sentosa Bus service stop,"Facilities are old, water taps in the bath room are rusty, TV channel are limited, unable to connect to YouTube even after I made the complain to the staff",2021-03-12T00:00:00,Singapore,6,Teck,5.0,"Leisure trip,Couple,Courtyard Suite with Private Jacuzzi,Stayed 3 nights",1.0,1.0,0
Ambassador Hotel Bangkok - SHA Extra Plus,"13.74210673,100.55672005",Pleasant,No Positive,No Negative,2019-12-26T00:00:00,Tanzania,11,Zohraida,6.7,"Leisure trip,Family with young children,Standard Double or Twin Room,Stayed 6 nights,Submitted via mobile",1.0,1.0,1
Lion Peak Hotel Raffles - Staycation Approved,"1.29692400,103.85576000",“My experience stayed in the hotel room is safe and comfortable.”,"Counter staff are service orientated, friendly and helpful. Environment ambience is quiet, comfort and clean.",If there is cold and fruit juice water dispenser for the hotel  guests to quench their thirst is commendable.👍⭐,2020-09-18T00:00:00,Singapore,5,Pang,7.0,"Leisure trip,Solo traveller,Deluxe Double Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Tower Club at lebua - SHA Extra Plus,"13.72196954,100.51703811",Exceptional,No Positive,No Negative,2019-09-13T00:00:00,United Kingdom,2,Anonymous,10.0,"Leisure trip,Couple,Special Offer - Tower Club City View with Breakfast,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
"One Farrer Hotel (SG Clean, Staycation Approved)","1.31314284,103.85448396",Superb,No Positive,Nothing,2020-01-4T00:00:00,Israel,19,Ehud,9.0,"Leisure trip,Solo traveller,Deluxe Double or Twin Room,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
Spacepod@lavender,"1.31030900,103.86172900",Superb,"Eggs and toast available for breakfast, good spot for walking around, cute pods with lights. Quiet place, and tables available if you need to do work.",No Negative,2019-06-15T00:00:00,United Kingdom,24,Anonymous,9.2,"Leisure trip,Solo traveller,Single Space Pod in Mixed Dormitory,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
Royal Orchid Sheraton Hotel and Towers - SHA Extra Plus,"13.72919230,100.51384091",“One of the best hotel”,The view facing IconSiam and the river was good. The comfort of the room was good. And staff was polite and friendly,Nothing much,2019-07-17T00:00:00,Singapore,2,Jos,8.8,"Leisure trip,Couple,Deluxe Guest room, 1 King, River view,Stayed 1 night,Submitted via mobile",1.0,1.0,1
"YOTEL Singapore Orchard Road (SG Clean, Staycation Approved)","1.30606069,103.83028090",Superb,"Very friendly staff. Excellent breakfast.Because it was our honeymoon they gave us free macarons",No Negative,2019-05-25T00:00:00,Panama,11,Moon-moon,9.2,"Leisure trip,Couple,First Class Queen,Stayed 1 night,Submitted via mobile",1.0,1.0,1
The Quarter Ladprao by UHG,"13.81210535,100.56210887",“Perfect City Hotel”,"We originally wanted to stay only 2 days but due to the Corono crisis we had to stay longer and extended our stay to 6 nights.
The Hotel is very nice and directly located at a Metro Station and two big malls.
The staff is very nice and helpfull. Nice, modern and clean rooms. Cool Pool and Fitnessstudio.
The breakfast should get 11 from 10 points!!",No Negative,2020-03-21T00:00:00,Germany,8,Kim,10.0,"Leisure trip,People with friends,Superior King Room,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
Nouvo City Hotel,"13.76279137,100.49929261",Pleasant,"- breakfast quite good
- kind staff","- uncomfortable bed
- very noisy AC
- stink in the room",2019-10-2T00:00:00,Poland,31,Bp,6.3,"Leisure trip,Couple,Deluxe Canal Double Room,Stayed 3 nights,Submitted via mobile",1.0,1.0,1
Swissotel The Stamford,"1.29333717,103.85292292",Exceptional,Great variety at breakfast.,No Negative,2019-12-30T00:00:00,United States,14,Richard,10.0,"Leisure trip,Couple,Premier Room Double,Stayed 4 nights",1.0,1.0,1
Village Hotel Bugis by Far East Hospitality (SG Clean),"1.30239535,103.85813177",“Overall it nice stay”,The amenities are nice for Muslim people,"1) TV programme is dull2) WiFi always interrupted3) Should install bidet in the toilet for ALL rooms . It help lots for Muslim family/ person.",2020-12-29T00:00:00,Singapore,1,Aziah,5.0,"Leisure trip,Family with young children,Superior Double or Twin Room,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
"Amara Sanctuary Resort Sentosa (SG Clean, Staycation Approved)","1.25149430,103.82266760",Pleasant,No Positive,No Negative,2019-08-29T00:00:00,Singapore,2,Azri,6.3,"Leisure trip,Couple,Courtyard Suite with Private Jacuzzi,Stayed 1 night,Submitted via mobile",1.0,1.0,1
"Hotel G Singapore (SG Clean, Staycation Approved)","1.30071404,103.85151207",Good,Good location:),Shower room level !,2019-07-5T00:00:00,Thailand,9,Chanwut,7.5,"Leisure trip,Couple,Good Room Queen,Stayed 1 night,Submitted via mobile",1.0,1.0,1
3Howw Hostel Khaosan,"13.76267153,100.50160468",Good,No Positive,No Negative,2020-03-10T00:00:00,Argentina,2,Daiana,7.1,"Leisure trip,Solo traveller,Bed in 4-Bed Female Dormitory Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Urbana Langsuan Hotel - SHA Extra Plus,"13.73969774,100.54351687",“Could be better”,Very well located,"Too noisy at night time because of the bars and disco next door, need noise protection windows to be considered as a top stars hotel.Cleanness of the room was mediocre.",2019-12-30T00:00:00,Brunei Darussalam,1,Jeremy,5.0,"Leisure trip,Family with young children,Studio,Stayed 3 nights,Submitted via mobile",1.0,1.0,1
Bizotel Premier Hotel & Residence,"13.75955048,100.54019094",Fabulous,Very nice hotel. The staff is fantastic and the room was very clean. The location requires you to walk or take tuc-tuc taxis. In december the pool is very cold but in Chiang mai that should not be a problem.,Pool little sun and cold in december.,2019-12-12T00:00:00,Netherlands,12,Stefan,8.8,"Leisure trip,Couple,Superior Double or Twin Room,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
The Berkeley Hotel Pratunam - SHA Extra Plus,"13.75015500,100.54174700",Good,It was OK... if I paid full price would have been disappointed. Booked it cheap last minute as my son wanted to stay in a skyscraper for 1 night of our holiday.,No Negative,2021-12-14T00:00:00,United Kingdom,12,David,7.0,"Leisure trip,Family with young children,Luxury Quadruple Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
"voco Orchard Singapore - SG Clean, an IHG Hotel","1.30632108,103.82925779",“ok”,location,small room. restaurant hotels fully booked.,2022-01-1T00:00:00,Singapore,4,Gavin,7.0,"Leisure trip,Family with young children,Deluxe King Room,Stayed 2 nights,Submitted via mobile",1.0,1.0,0
Smile Hotel Namba,"34.66871440,135.48584595",Exceptional,cost and clean,nuttin,2020-10-20T00:00:00,Japan,8,Andy,10.0,"Leisure trip,Couple,Double Room with Small Double Bed - Smoking,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Hotel 81 Gold - SG Clean,"1.31201393,103.88121486",Good,Good,Good,2019-04-13T00:00:00,Bangladesh,1,Sabbir,7.5,"Business trip,Solo traveller,Superior Twin Room,Stayed 3 nights,Submitted via mobile",1.0,1.0,1
"Pan Pacific Singapore (SG Clean, Staycation Approved)","1.29201250,103.85860920",Exceptional,No Positive,No Negative,2019-11-10T00:00:00,United Kingdom,8,Anonymous,10.0,"Leisure trip,Couple,Deluxe Double or Twin Room with Balcony,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
Amari Watergate Bangkok - SHA Extra Plus Certified,"13.75090094,100.53974032",“Great on all levels”,"EVERYTHING , we booked the executive suite and it was great with access to executive lounge which was fab.",Nothing,2019-08-18T00:00:00,Kuwait,1,Abdulaziz,10.0,"Leisure trip,Family with young children,One Bedroom Corner Suite,Stayed 3 nights,Submitted via mobile",1.0,0.0,1
ST Signature Chinatown (SG Clean),"1.28179000,103.84526800",“Good to stay”,"Near to all convenience store .. and steamboat . enjoy delicious food from nearby chinese,thai and more and more street food and  restoran",No Negative,2021-01-1T00:00:00,Singapore,27,Chung,9.0,"Leisure trip,Solo traveller,Cabin S-Lower, Window, Shared Bathroom,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
Hotel Muse Bangkok Langsuan - MGallery - SHA EXTRA PLUS,"13.74021883,100.54351687",Superb,Everything was really good except noisy air condition. Thank  you !,"1. Such a noisy air condition. 
2. To get the deposit back you need to wait more than one week . But it's ok.",2020-03-6T00:00:00,Russia,16,Novayus,9.0,"Leisure trip,Couple,Dowadueng Corner Deluxe,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Ibis Bangkok Riverside - SHA Extra Plus,"13.71780046,100.50898612",“Perfect!”,No Positive,No Negative,2020-09-25T00:00:00,Thailand,8,Yannick,9.0,"Leisure trip,Couple,Double Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Warm Window Silom,"13.72335600,100.52330000","“Good place, nice and quiet location.”",Reception and simple breakfast.,PVC leather on futon.,2021-11-6T00:00:00,Thailand,1,Nungs,8.0,"Leisure trip,Solo traveller,Single Bed in 10-Bed Dormitory Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
M Hotel Singapore City Centre,"1.27366274,103.84489775",“Pleasant three day stay”,Handy location. Very helpful staff. Breakfast excellent.,No Negative,2020-02-19T00:00:00,United Kingdom,13,Peter,7.9,"Leisure trip,Couple,Deluxe Double Room With Free WiFi,Stayed 3 nights,Submitted via mobile",1.0,1.0,1
"Q Loft Hotels@Bedok (SG Clean, Staycation Approved)","1.33160700,103.94718700",Fabulous,No Positive,No Negative,2019-05-21T00:00:00,Australia,2,Kingsley,8.8,"Solo traveller,Standard Single Room without Windows,Stayed 1 night",1.0,1.0,1
Travelodge Harbourfront Singapore (SG Clean),"1.26607395,103.82385314",Very good,No Positive,No Negative,2021-12-1T00:00:00,Singapore,1,Nino,8.0,"Leisure trip,Family with young children,Friends & Family Triple Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
lebua at State Tower - SHA Extra Plus,"13.72183665,100.51690400",Fabulous,No Positive,Ridiculous prices at the pool bar. Nearly 500 Bhat for a bear is a joke !,2020-02-16T00:00:00,Germany,15,Oliver,8.8,"Leisure trip,Couple,Special Offer - Superior Suite City View with Balcony,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Lion Peak Hotel Bugis - Staycation Approved,"1.29783677,103.85722786",Pleasant,"it was colorful, water was big , bed was quite comfortable","it is near a construction site,so could hear construction",2021-11-27T00:00:00,Singapore,1,Anonymous,6.0,"Leisure trip,Solo traveller,Deluxe Double Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Grand Mercure Singapore Roxy - SG Clean,"1.30308718,103.90483171",Disappointing,No Positive,No Negative,2021-08-26T00:00:00,Singapore,3,Jun,4.0,"Leisure trip,Couple,Superior Double Room,Stayed 1 night,Submitted via mobile",0.0,0.0,0
The Siam Heritage Hotel - SHA Extra Plus,"13.72946849,100.53046256",Exceptional,No Positive,No Negative,2020-08-1T00:00:00,Germany,4,Austiani,10.0,"Leisure trip,Family with young children,Superior Double or Twin Room,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
ibis Styles Bangkok Khaosan Viengtai,"13.75979798,100.49760282",Superb,"Perfect place for those first two or three nights of your holiday in Thailand. Very close to Khao San Road, Royal Palace en the river (for quick acces to the river ferries).
This place is very new, clean and good value for money.","Nothing really, stayed here on multiple occasions.",2020-03-12T00:00:00,Netherlands,9,Ivo,9.0,"Leisure trip,Couple,Triple room with Bunk Bed and Single Bed,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
Chillax Resort - SHA Extra Plus,"13.76246699,100.50015606",Superb,No Positive,No Negative,2019-11-7T00:00:00,Poland,14,Patryk,9.2,"Leisure trip,Couple,Deluxe Double Room,Stayed 3 nights,Submitted via mobile",1.0,1.0,1
ORIENTAL HOTEL UNIVERSAL CITY,"34.66888600,135.43785800","“Great location, awfully uncomfortable beds”","Very nice bathroom
Fantastic location","The pillows are full of beans, utterly unacceptable. Horribly cheap, needs changing for new soft pillows that don’t leave bruises!
Mattresses also not comfortable but bearable for one night. 
Very odd decor but the glow I the dark stars on the ceiling are nice for children.",2021-10-13T00:00:00,Japan,9,Sophia,6.0,"Leisure trip,People with friends,Comfort Quadruple Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Avani Atrium Bangkok Hotel - SHA Extra Plus Certified,"13.74717007,100.57014048",Superb,"Breakfast, style, room, views and staff. Also shuttle to local metro. When we were leaving we were given a train ticket to the airport. Thank you.",Bed too hard for my comfort.,2019-11-8T00:00:00,Ireland,94,Frank,9.2,"Leisure trip,Couple,Avani Premier Room,Stayed 4 nights,Submitted via mobile",1.0,1.0,1
S31 Sukhumvit Hotel - SHA Extra Plus,"13.73367385,100.56603670",“Brilliant stay at this modern spacious hotel located at a very convenient place.”,"Nice room, great location, brilliant breakfast that was included, and very friendly and helpful staffs. The room we had was a 1-bedroom duplex with super king size bed on the 2nd floor and on-suite connected. There is also a bathroom on downstairs. Both toilets came with Japanese style washing and heating functions.Welcome drinks at the 8th floor was a surprise.5 minutes walking distance closest BTS, with lots of convenient stores within minutes of walk.","Reception is located at 8th floor, couple of times we went to the ground floor and realized we should have gone to the 8th instead. On 2nd day we are given 3 conditioners but insufficient shower gel (only 1), but that's not really a biggie.",2019-07-1T00:00:00,Singapore,1,Ryan,10.0,"Leisure trip,Group,Duplex Suite,Stayed 2 nights",1.0,1.0,1
Grand Business Inn,"13.74050576,100.55640221",Exceptional,It’s in the middle of all the action.,I wish I could have stayed longer.,2019-10-10T00:00:00,United States,6,David,10.0,"Leisure trip,Solo traveller,Premier Suite,Stayed 6 nights,Submitted via mobile",1.0,1.0,1
"KēSa House, The Unlimited Collection by Oakwood","1.28059453,103.84135991",Exceptional,No Positive,No Negative,2019-10-21T00:00:00,Singapore,1,Dawn,10.0,"Leisure trip,Couple,Studio,Stayed 1 night,Submitted via mobile",1.0,1.0,1
"Shangri-La Apartments (SG Clean, Staycation Approved)","1.30944400,103.82666100","“Loved our stay at the Shangrila apartments. Fantastic value for money, great location.”",The rooms were clean and large. Being able to use the facilities at the main hotel was a bonus. The free laundry was very handy.,Rooms were dated however that didn’t really matter as they had everything we needed,2019-07-12T00:00:00,Australia,1,Anonymous,9.6,"Leisure trip,Family with young children,One-Bedroom Apartment,Stayed 4 nights,Submitted via mobile",1.0,1.0,1
New Orchid Hotel (SG Clean),"1.32426130,103.85121980",Okay,the bedding was ok,the entrance is so dirty and smelly thry just put photos on b..com one has to experience it..no b day shower in the wash rooms,2019-08-11T00:00:00,Sri Lanka,2,Sharmini,5.8,"Leisure trip,Family with young children,Standard Queen Room,Stayed 3 nights,Submitted via mobile",1.0,1.0,1
ONE°15 Marina Sentosa Cove Singapore (SG Clean),"1.24575466,103.83941129",Very good,No Positive,No Negative,2022-02-15T00:00:00,Singapore,4,Rudywizannata,8.0,"Leisure trip,Couple,Monte Carlo 1 Suite Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Ramada by Wyndham Singapore at Zhongshan Park (SG Clean),"1.32734941,103.84526789",Good,Close to the venue I was attending. Convenient mall adjacent.,"Room cleaning took a really long time, and I had to call to request at 3pm, and it still took another two and half hours. Also noise from corridor is loud, poor insulation.",2019-10-13T00:00:00,Malaysia,2,Anonymous,7.5,"Leisure trip,Solo traveller,Twin Room with Park View - Non-Smoking,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
Theatre Residence,"13.75358239,100.48623066",Good,No Positive,No Negative,2019-07-28T00:00:00,Thailand,22,Katathikarn,7.5,"Leisure trip,Family with young children,Deluxe Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Hotel Hankyu International,"34.70893316,135.49860656",Good,"Excellent location for train/subway
Very grand and modern hotel. 
Excellent views. 
Concierge friendly, helpful and polite.","Rooms on the smaller side. Bed and pillows quite uncomfortable 
Spa and gym need to be paid for in addition as they are not part of the hotel. Facilities in the gym quite poor. 
Prepare to pay 300¥ each for a swimming cap and full swim suit (not bikini), if not brought with you. 
Front desk staff quite restrictive and refused a check in 15minutes early.",2019-10-28T00:00:00,United Kingdom,14,Neeruj,7.5,"Leisure trip,Couple,Deluxe Double Room - Non-Smoking,Stayed 3 nights,Submitted via mobile",1.0,1.0,1
Village Hotel Albert Court by Far East Hospitality (SG Clean),"1.30424100,103.85085800",“Very Relaxing”,"This was a transit stop for me after a holiday in Europe, so a need for some relaxing time for me. I was on the 8th floor and it was lovely and quiet, so I could sleep.
There were a variety of restaurants/ cafes just out the door, so I didn’t have to wander far for a meal.
Staff were helpful and friendly. Housekeeping staff were lovely.",Nothing. It was all great.,2019-05-31T00:00:00,Australia,21,Debbie,10.0,"Leisure trip,Solo traveller,Superior Double or Twin Room,Stayed 3 nights,Submitted via mobile",1.0,0.0,1
Avana Hotel and Convention Center SHA Extra Plus,"13.66760400,100.62015300",“Not expensive and clean.”,"Convenient to the airport, but not far from the city.",No Negative,2019-11-8T00:00:00,United States,2,Laub,9.6,"Leisure trip,Group,Deluxe Double or Twin Room,Stayed 1 night",1.0,1.0,0
The Sultan (SG Clean),"1.30314349,103.86098832",“Good for a night”,Friendly staff. Good Location. The room was Clean.,Breakfast is a disaster. Would be better not to include the breakfast than having this.,2020-01-5T00:00:00,Singapore,34,Anonymous,7.0,"Leisure trip,Family with young children,Double Room - Attic,Stayed 1 night,Submitted via mobile",1.0,1.0,1
Grand Business Inn,"13.74050576,100.55640221",“Safe and convenient”,"The hotel has tight security whereby visitors have to report to counter before proceeding to the rooms. Though a bit expensive, the in-house restaurant is opened 24 hours and therefore, there is no need to feel hungry at any hour.
Staff are awesome is everyway. Got a complimentary plate of watermelon when there was a power shutdown for maintenance causing an hour delay in checking in.",There is no safe box available and housekeeping will proceed on a daily basis as long as the room is not occupied.,2019-11-28T00:00:00,Singapore,2,Lawrence,8.3,"Leisure trip,Solo traveller,Superior Double Room,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
The Grand Fourwings Convention Hotel Bangkok,"13.75397782,100.64603895",“It was an excellent five star with one of the best breakfast I have come across . The location is a bit far from central”,Everything,They should have Muslim showers in washroom,2019-11-5T00:00:00,Pakistan,1,Taimur,9.6,"Leisure trip,People with friends,Grand Deluxe Double Room,Stayed 2 nights,Submitted via mobile",1.0,1.0,1
Value Hotel Thomson - SG Clean,"1.32683457,103.84294242",Good,The room smell. But everything nice. We will come back stay again.,The room clean nice.,2019-11-7T00:00:00,Singapore,2,Nguyen,7.5,"Business trip,People with friends,Standard Double Room,Stayed 1 night,Submitted via mobile",1.0,1.0,1
